School,Grade,Housing Status,Adult Household,EL,Special Ed.,Services,Living Status,year,GT,greater_than_four
Hemlock,3,> 1 family,1 parent,,,,,2010-2011,,
Cypress,2,> 1 family,2 parents,,,,,2010-2011,,
Sierra Lakes,K,temp w/fiends or family,2 parents,,,,,2010-2011,,
Kaiser H.S.,10,>1 family,1 parent & another adult,,,,,2010-2011,,
Southridge,6,> 1 family,2 parents,,,,,2010-2011,,
Juniper,4,> 1 family,1 parent & another adult,,,,,2010-2011,,
Juniper,2,> 1 family,1 parent & another adult,,,,,2010-2011,,
Kaiser H.S.,10,>1 family,1 parent,,,,,2010-2011,,
Citrus,5,> 1 family,2 parents,,,,,2010-2011,,
Poplar,4,>1 family,1 parent & another adult,,,,,2010-2011,,
Southridge,8,> 1 family,1 parent,,,,,2010-2011,,
