LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PHIL WYMAN,DAVID KING,ORLY TAITZ,KAMALA D HARRIS,JOHN HAGGERTY,JONATHAN JAECH,RONALD GOLD
ALTADENA,0200028A,79,33,N,1306,TOTAL,413,19,16,8,278,5,12,31
ALTADENA,0200030A,80,33,N,889,POLLING PLACE,118,6,8,0,72,7,3,12
ALTADENA,0200030A,80,33,N,0,VBM PORTION,143,8,15,1,81,10,1,16
ALTADENA,0200030A,80,33,N,889,TOTAL,261,14,23,1,153,17,4,28
ALTADENA,0200031A,6012,44,Y,3,POLLING PLACE,0,0,0,0,0,0,0,0
ALTADENA,0200031A,6012,44,Y,0,VBM PORTION,0,0,0,0,0,0,0,0
ALTADENA,0200031A,6012,44,Y,3,TOTAL,0,0,0,0,0,0,0,0
ALTADENA,0200032A,81,33,N,1378,POLLING PLACE,196,7,16,9,122,10,1,20
ALTADENA,0200032A,81,33,N,0,VBM PORTION,153,2,5,7,96,4,1,20
ALTADENA,0200032A,81,33,N,1378,TOTAL,349,9,21,16,218,14,2,40
ALTADENA,0200038B,82,33,N,1195,POLLING PLACE,180,11,10,3,104,6,1,26
ALTADENA,0200038B,82,33,N,0,VBM PORTION,134,4,18,3,71,2,2,19
ALTADENA,0200038B,82,33,N,1195,TOTAL,314,15,28,6,175,8,3,45
ALTADENA,0200039A,83,33,N,1132,POLLING PLACE,145,12,7,2,82,6,3,23
ALTADENA,0200039A,83,33,N,0,VBM PORTION,117,4,7,9,56,3,5,13
